Year / Année,Sex / Sexe,Name / Nom,Count / Total
1980,M,MICHAEL,169
1980,M,CHRISTOPHER,144
1980,M,JASON,143
1980,M,MATTHEW,120
1980,M,DAVID,112
1980,M,ANDREW,95
1980,M,DANIEL,94
1980,M,JOSEPH,90
1980,M,ROBERT,89
1980,M,ERIC,83
1980,M,MARC,82
1980,M,ADAM,81
1980,M,MARK,81
1980,M,RYAN,78
1980,M,SCOTT,74
1980,M,KEVIN,72
1980,M,JUSTIN,71
1980,M,BRIAN,71
1980,M,JAMES,70
1980,M,NICHOLAS,70
1980,F,AMANDA,199
1980,F,MELISSA,162
1980,F,JENNIFER,139
1980,F,JULIE,100
1980,F,SARAH,79
1980,F,LISA,77
1980,F,AMY,76
1980,F,MELANIE,67
1980,F,MARIE,67
1980,F,MICHELLE,60
1980,F,ANGELA,55
1980,F,STEPHANIE,54
1980,F,TANYA,52
1980,F,ERIN,51
1980,F,CHRISTINE,47
1980,F,HEATHER,45
1980,F,NICOLE,44
1980,F,ANNIE,43
1980,F,CINDY,43
1980,F,SYLVIE,43
1981,M,MATTHEW,166
1981,M,RYAN,141
1981,M,MICHAEL,137
1981,M,JOSEPH,135
1981,M,JASON,129
1981,M,CHRISTOPHER,127
1981,M,DAVID,109
1981,M,DANIEL,102
1981,M,JONATHAN,101
1981,M,ANDREW,95
1981,M,JAMES,84
1981,M,JUSTIN,81
1981,M,ERIC,78
1981,M,ADAM,78
1981,M,KEVIN,76
1981,M,ROBERT,75
1981,M,MARC,72
1981,M,MATHIEU,72
1981,M,JEREMY,67
1981,M,NICHOLAS,65
1981,F,MELISSA,162
1981,F,JENNIFER,160
1981,F,AMANDA,138
1981,F,JULIE,106
1981,F,MARIE,101
1981,F,SARAH,98
1981,F,AMY,73
1981,F,LISA,59
1981,F,MELANIE,58
1981,F,CHRISTINE,56
1981,F,STEPHANIE,55
1981,F,MICHELLE,52
1981,F,MÉLANIE,50
1981,F,ANGELA,48
1981,F,TANYA,46
1981,F,ANNIE,46
1981,F,CINDY,43
1981,F,KRISTA,43
1981,F,ERIN,42
1981,F,HEATHER,40
1982,M,CHRISTOPHER,171
1982,M,MATTHEW,164
1982,M,MICHAEL,157
1982,M,JASON,135
1982,M,JOSEPH,129
1982,M,DAVID,116
1982,M,JONATHAN,111
1982,M,RYAN,109
1982,M,ANDREW,100
1982,M,ADAM,92
1982,M,ROBERT,80
1982,M,JAMES,80
1982,M,ERIC,77
1982,M,KEVIN,74
1982,M,DANIEL,72
1982,M,JOHN,69
1982,M,MATHIEU,68
1982,M,JUSTIN,64
1982,M,MARC,59
1982,M,JEREMY,59
1982,F,JENNIFER,174
1982,F,MELISSA,137
1982,F,AMANDA,126
1982,F,MARIE,95
1982,F,JESSICA,95
1982,F,SARAH,92
1982,F,JULIE,92
1982,F,MELANIE,82
1982,F,AMY,71
1982,F,STEPHANIE,65
1982,F,CRYSTAL,60
1982,F,ANGELA,53
1982,F,LISA,50
1982,F,CHRISTINE,48
1982,F,MICHELLE,45
1982,F,ERIN,44
1982,F,NICOLE,43
1982,F,NATHALIE,41
1982,F,MÉLANIE,41
1982,F,SYLVIE,40
1983,M,MATTHEW,173
1983,M,MICHAEL,143
1983,M,CHRISTOPHER,131
1983,M,JOSEPH,127
1983,M,RYAN,123
1983,M,JASON,112
1983,M,ANDREW,103
1983,M,JUSTIN,96
1983,M,DAVID,95
1983,M,ADAM,94
1983,M,JONATHAN,92
1983,M,DANIEL,91
1983,M,NICHOLAS,82
1983,M,MATHIEU,78
1983,M,KEVIN,73
1983,M,ERIC,70
1983,M,ROBERT,69
1983,M,JAMES,69
1983,M,MARC,69
1983,M,MARK,69
1983,F,JENNIFER,145
1983,F,JESSICA,121
1983,F,AMANDA,119
1983,F,MELISSA,116
1983,F,JULIE,95
1983,F,SARAH,90
1983,F,STEPHANIE,86
1983,F,MARIE,74
1983,F,AMY,67
1983,F,ASHLEY,62
1983,F,CRYSTAL,60
1983,F,LISA,59
1983,F,NICOLE,51
1983,F,ERIN,50
1983,F,MELANIE,48
1983,F,ISABELLE,45
1983,F,MÉLANIE,45
1983,F,MICHELLE,43
1983,F,CHRISTINE,42
1983,F,ANGELA,42
1984,M,MATTHEW,165
1984,M,CHRISTOPHER,151
1984,M,MICHAEL,144
1984,M,JASON,127
1984,M,JOSEPH,119
1984,M,ANDREW,112
1984,M,JOSHUA,108
1984,M,RYAN,106
1984,M,DANIEL,95
1984,M,ADAM,94
1984,M,MATHIEU,92
1984,M,JUSTIN,89
1984,M,JONATHAN,84
1984,M,NICHOLAS,81
1984,M,KEVIN,80
1984,M,DAVID,78
1984,M,ERIC,70
1984,M,JAMES,65
1984,M,JEFFREY,64
1984,M,MARC,62
1984,F,JENNIFER,146
1984,F,JESSICA,120
1984,F,MELISSA,118
1984,F,AMANDA,109
1984,F,SARAH,95
1984,F,ASHLEY,90
1984,F,MARIE,83
1984,F,STEPHANIE,72
1984,F,JULIE,70
1984,F,LAURA,66
1984,F,MÉLANIE,56
1984,F,AMY,53
1984,F,NICOLE,50
1984,F,MELANIE,48
1984,F,LISA,46
1984,F,MICHELLE,44
1984,F,CHRISTINE,44
1984,F,MEGAN,42
1984,F,DANIELLE,42
1984,F,ERIN,41
1985,M,MATTHEW,153
1985,M,CHRISTOPHER,136
1985,M,JASON,119
1985,M,MICHAEL,112
1985,M,JONATHAN,97
1985,M,RYAN,95
1985,M,JOSHUA,89
1985,M,JOSEPH,88
1985,M,DANIEL,86
1985,M,ADAM,84
1985,M,JUSTIN,81
1985,M,ANDREW,80
1985,M,JAMES,77
1985,M,KEVIN,74
1985,M,DAVID,73
1985,M,JEFFREY,72
1985,M,MATHIEU,72
1985,M,ROBERT,68
1985,M,ERIC,66
1985,M,NICHOLAS,62
1985,F,JESSICA,124
1985,F,JENNIFER,113
1985,F,AMANDA,111
1985,F,ASHLEY,104
1985,F,MELISSA,100
1985,F,JULIE,89
1985,F,SARAH,84
1985,F,STEPHANIE,76
1985,F,AMY,74
1985,F,LAURA,68
1985,F,MARIE,61
1985,F,MÉLANIE,60
1985,F,MEGAN,52
1985,F,MELANIE,49
1985,F,CHRISTINE,44
1985,F,MICHELLE,43
1985,F,REBECCA,41
1985,F,NICOLE,40
1985,F,LINDSAY,39
1985,F,VANESSA,37
1986,M,CHRISTOPHER,162
1986,M,MATTHEW,138
1986,M,MICHAEL,129
1986,M,JOSHUA,105
1986,M,JUSTIN,104
1986,M,RYAN,102
1986,M,JOSEPH,101
1986,M,ANDREW,94
1986,M,JONATHAN,91
1986,M,NICHOLAS,86
1986,M,DANIEL,86
1986,M,DAVID,83
1986,M,JASON,83
1986,M,PATRICK,74
1986,M,ADAM,68
1986,M,JEREMY,68
1986,M,JAMES,67
1986,M,KEVIN,66
1986,M,KYLE,65
1986,M,ROBERT,57
1986,F,JESSICA,134
1986,F,AMANDA,112
1986,F,SARAH,108
1986,F,ASHLEY,102
1986,F,JENNIFER,98
1986,F,MELISSA,88
1986,F,JULIE,73
1986,F,MARIE,68
1986,F,LAURA,59
1986,F,STEPHANIE,54
1986,F,NICOLE,52
1986,F,MEGAN,52
1986,F,MÉLANIE,51
1986,F,AMY,49
1986,F,BRITTANY,46
1986,F,MICHELLE,44
1986,F,REBECCA,43
1986,F,LISA,42
1986,F,CHRISTINE,39
1986,F,NATASHA,38
1987,M,MATTHEW,165
1987,M,MICHAEL,146
1987,M,RYAN,110
1987,M,ANDREW,110
1987,M,CHRISTOPHER,109
1987,M,JUSTIN,90
1987,M,JONATHAN,84
1987,M,JOSHUA,81
1987,M,PATRICK,81
1987,M,JASON,79
1987,M,JOSEPH,79
1987,M,MATHIEU,77
1987,M,SCOTT,75
1987,M,DANIEL,74
1987,M,JEREMY,69
1987,M,ADAM,66
1987,M,NICHOLAS,65
1987,M,JAMES,64
1987,M,DAVID,63
1987,M,KEVIN,61
1987,F,JESSICA,174
1987,F,ASHLEY,134
1987,F,AMANDA,92
1987,F,SARAH,91
1987,F,JENNIFER,79
1987,F,MELISSA,77
1987,F,JULIE,65
1987,F,AMY,60
1987,F,NICOLE,50
1987,F,MEGAN,50
1987,F,STEPHANIE,50
1987,F,CHRISTINE,46
1987,F,LAURA,46
1987,F,MICHELLE,43
1987,F,SAMANTHA,43
1987,F,MARIE,42
1987,F,MÉLANIE,40
1987,F,DANIELLE,39
1987,F,VANESSA,38
1987,F,CHANTAL,35
1988,M,MATTHEW,153
1988,M,MICHAEL,131
1988,M,JUSTIN,120
1988,M,CHRISTOPHER,117
1988,M,JOSHUA,97
1988,M,KYLE,88
1988,M,JONATHAN,84
1988,M,ANDREW,81
1988,M,JOSEPH,81
1988,M,DANIEL,79
1988,M,ADAM,78
1988,M,MATHIEU,78
1988,M,NICHOLAS,74
1988,M,JASON,74
1988,M,RYAN,69
1988,M,PATRICK,68
1988,M,JEREMY,66
1988,M,ERIC,60
1988,M,KEVIN,57
1988,M,DAVID,56
1988,F,JESSICA,169
1988,F,AMANDA,117
1988,F,SARAH,97
1988,F,ASHLEY,91
1988,F,MELISSA,88
1988,F,JENNIFER,74
1988,F,STEPHANIE,60
1988,F,MARIE,57
1988,F,SAMANTHA,55
1988,F,JULIE,53
1988,F,VANESSA,48
1988,F,AMY,48
1988,F,NICOLE,47
1988,F,TIFFANY,44
1988,F,LAURA,43
1988,F,MEGAN,42
1988,F,REBECCA,42
1988,F,CHRISTINE,42
1988,F,MICHELLE,40
1988,F,KATELYN,39
1989,M,MATTHEW,154
1989,M,MICHAEL,130
1989,M,CHRISTOPHER,111
1989,M,JUSTIN,94
1989,M,ANDREW,93
1989,M,JOSHUA,87
1989,M,JONATHAN,81
1989,M,JOSEPH,79
1989,M,MATHIEU,78
1989,M,DAVID,76
1989,M,NICHOLAS,72
1989,M,RYAN,72
1989,M,KYLE,68
1989,M,DANIEL,67
1989,M,ADAM,63
1989,M,PATRICK,61
1989,M,BENJAMIN,54
1989,M,KEVIN,53
1989,M,ERIC,53
1989,M,JOHN,51
1989,F,JESSICA,169
1989,F,SAMANTHA,115
1989,F,ASHLEY,105
1989,F,SARAH,102
1989,F,MELISSA,86
1989,F,AMANDA,82
1989,F,STEPHANIE,67
1989,F,BRITTANY,62
1989,F,JENNIFER,62
1989,F,MARIE,58
1989,F,JULIE,55
1989,F,EMILY,54
1989,F,LAURA,53
1989,F,MEGAN,51
1989,F,KAYLA,51
1989,F,VANESSA,50
1989,F,KATELYN,49
1989,F,TIFFANY,46
1989,F,NICOLE,45
1989,F,COURTNEY,43
1990,M,MATTHEW,114
1990,M,JUSTIN,112
1990,M,CHRISTOPHER,109
1990,M,MICHAEL,105
1990,M,JOSHUA,103
1990,M,RYAN,92
1990,M,ANDREW,85
1990,M,NICHOLAS,84
1990,M,JOSEPH,84
1990,M,JORDAN,78
1990,M,KYLE,73
1990,M,JONATHAN,71
1990,M,DANIEL,71
1990,M,BRANDON,69
1990,M,PATRICK,66
1990,M,MATHIEU,63
1990,M,DAVID,61
1990,M,JASON,59
1990,M,ERIC,58
1990,M,ADAM,58
1990,M,JAMES,58
1990,F,JESSICA,208
1990,F,SAMANTHA,108
1990,F,AMANDA,95
1990,F,SARAH,91
1990,F,ASHLEY,87
1990,F,KAYLA,75
1990,F,STEPHANIE,70
1990,F,BRITTANY,68
1990,F,VANESSA,61
1990,F,MELISSA,59
1990,F,EMILY,57
1990,F,REBECCA,56
1990,F,JENNIFER,52
1990,F,MARIE,49
1990,F,JULIE,46
1990,F,MEGAN,45
1990,F,LAURA,42
1990,F,KATELYN,41
1990,F,COURTNEY,37
1990,F,DANIELLE,36
1990,F,CHRISTINE,36
1991,M,MATTHEW,135
1991,M,MICHAEL,117
1991,M,JUSTIN,103
1991,M,KYLE,100
1991,M,JOSHUA,96
1991,M,CHRISTOPHER,88
1991,M,RYAN,86
1991,M,PATRICK,84
1991,M,NICHOLAS,78
1991,M,JOSEPH,77
1991,M,JONATHAN,73
1991,M,MATHIEU,72
1991,M,ANDREW,71
1991,M,DAVID,67
1991,M,TYLER,66
1991,M,ALEXANDER,64
1991,M,DANIEL,64
1991,M,JORDAN,60
1991,M,BRANDON,60
1991,M,JEREMY,54
1991,F,JESSICA,176
1991,F,SAMANTHA,88
1991,F,ASHLEY,84
1991,F,SARAH,83
1991,F,STEPHANIE,71
1991,F,KAYLA,70
1991,F,EMILY,65
1991,F,AMANDA,61
1991,F,MELISSA,60
1991,F,BRITTANY,59
1991,F,JENNIFER,56
1991,F,VANESSA,53
1991,F,REBECCA,51
1991,F,MEGAN,50
1991,F,JULIE,45
1991,F,LAURA,44
1991,F,MARIE,44
1991,F,COURTNEY,43
1991,F,JENNA,42
1991,F,KELSEY,37
1992,M,MATTHEW,109
1992,M,RYAN,105
1992,M,MICHAEL,94
1992,M,BRANDON,94
1992,M,JUSTIN,94
1992,M,JOSHUA,82
1992,M,CHRISTOPHER,81
1992,M,TYLER,79
1992,M,JORDAN,79
1992,M,NICHOLAS,76
1992,M,KYLE,76
1992,M,PATRICK,72
1992,M,JOSEPH,72
1992,M,ALEXANDER,71
1992,M,MATHIEU,68
1992,M,ANDREW,65
1992,M,CODY,61
1992,M,JONATHAN,58
1992,M,JESSE,54
1992,M,DAVID,54
1992,F,JESSICA,170
1992,F,SAMANTHA,100
1992,F,ASHLEY,98
1992,F,SARAH,85
1992,F,STEPHANIE,70
1992,F,KAYLA,68
1992,F,BRITTANY,67
1992,F,MEGAN,66
1992,F,EMILY,60
1992,F,JULIE,53
1992,F,MELISSA,51
1992,F,REBECCA,49
1992,F,VANESSA,47
1992,F,JENNA,45
1992,F,LAURA,45
1992,F,KELSEY,44
1992,F,JENNIFER,44
1992,F,AMANDA,43
1992,F,COURTNEY,41
1992,F,MARIE,39
1993,M,BRANDON,139
1993,M,MATTHEW,107
1993,M,RYAN,104
1993,M,MICHAEL,92
1993,M,JONATHAN,90
1993,M,JOSHUA,85
1993,M,JUSTIN,81
1993,M,CHRISTOPHER,78
1993,M,NICHOLAS,77
1993,M,JORDAN,69
1993,M,CODY,68
1993,M,TYLER,68
1993,M,KYLE,63
1993,M,ALEXANDER,62
1993,M,JOSEPH,62
1993,M,PATRICK,55
1993,M,JESSE,53
1993,M,DAVID,53
1993,M,MATHIEU,52
1993,M,ANDREW,50
1993,F,JESSICA,132
1993,F,SAMANTHA,79
1993,F,SARAH,79
1993,F,EMILY,77
1993,F,ASHLEY,72
1993,F,BRITTANY,62
1993,F,REBECCA,58
1993,F,JULIE,50
1993,F,VANESSA,48
1993,F,KELSEY,48
1993,F,STEPHANIE,47
1993,F,JENNIFER,44
1993,F,AMANDA,42
1993,F,LAURA,41
1993,F,KAYLA,41
1993,F,MARIE,39
1993,F,JENNA,38
1993,F,DANIELLE,38
1993,F,MICHELLE,37
1993,F,MEGAN,37
1994,M,BRANDON,133
1994,M,MATTHEW,88
1994,M,RYAN,85
1994,M,NICHOLAS,84
1994,M,JOSHUA,81
1994,M,JUSTIN,72
1994,M,TYLER,72
1994,M,KYLE,71
1994,M,JORDAN,67
1994,M,MICHAEL,65
1994,M,PATRICK,65
1994,M,CODY,64
1994,M,ALEXANDER,62
1994,M,JONATHAN,60
1994,M,CHRISTOPHER,59
1994,M,JOSEPH,58
1994,M,JACOB,57
1994,M,ZACHARY,56
1994,M,DYLAN,55
1994,M,MATHIEU,50
1994,F,JESSICA,117
1994,F,SAMANTHA,94
1994,F,EMILY,78
1994,F,SARAH,65
1994,F,ASHLEY,64
1994,F,REBECCA,63
1994,F,KELSEY,60
1994,F,BRITTANY,55
1994,F,STEPHANIE,44
1994,F,KAYLA,43
1994,F,MELISSA,42
1994,F,MEGAN,41
1994,F,TAYLOR,40
1994,F,JENNIFER,40
1994,F,MORGAN,40
1994,F,MARIE,38
1994,F,JENNA,36
1994,F,AMANDA,35
1994,F,KATELYN,35
1994,F,VANESSA,34
1995,M,BRANDON,104
1995,M,RYAN,95
1995,M,NICHOLAS,87
1995,M,ALEXANDER,77
1995,M,TYLER,76
1995,M,MICHAEL,75
1995,M,MATTHEW,72
1995,M,JUSTIN,71
1995,M,JOSHUA,66
1995,M,MATHIEU,65
1995,M,CHRISTOPHER,63
1995,M,CODY,62
1995,M,PATRICK,60
1995,M,JORDAN,59
1995,M,JONATHAN,57
1995,M,JOSEPH,53
1995,M,JACOB,51
1995,M,ZACHARY,50
1995,M,ANDREW,49
1995,M,JESSE,44
1995,F,JESSICA,109
1995,F,ASHLEY,70
1995,F,SARAH,69
1995,F,MEGAN,60
1995,F,SAMANTHA,59
1995,F,EMILY,57
1995,F,BRITTANY,52
1995,F,KAYLA,44
1995,F,REBECCA,43
1995,F,COURTNEY,40
1995,F,AMANDA,36
1995,F,KELSEY,34
1995,F,VANESSA,34
1995,F,MELISSA,33
1995,F,TAYLOR,32
1995,F,MARIE,32
1995,F,LAURA,31
1995,F,AMY,31
1995,F,DANIELLE,31
1995,F,JENNIFER,29
1996,M,BRANDON,118
1996,M,RYAN,91
1996,M,MATTHEW,91
1996,M,NICHOLAS,76
1996,M,MICHAEL,73
1996,M,JACOB,68
1996,M,JUSTIN,62
1996,M,ALEXANDER,61
1996,M,TYLER,59
1996,M,JONATHAN,57
1996,M,CHRISTOPHER,56
1996,M,JOSHUA,56
1996,M,SAMUEL,53
1996,M,DYLAN,53
1996,M,ZACHARY,53
1996,M,JOSEPH,52
1996,M,PATRICK,51
1996,M,JORDAN,50
1996,M,CODY,50
1996,M,KYLE,50
1996,F,JESSICA,92
1996,F,EMILY,78
1996,F,SARAH,61
1996,F,COURTNEY,50
1996,F,SAMANTHA,50
1996,F,REBECCA,47
1996,F,ASHLEY,44
1996,F,MEGAN,43
1996,F,BRITTANY,38
1996,F,TAYLOR,37
1996,F,KRISTEN,32
1996,F,MADISON,31
1996,F,HANNAH,31
1996,F,EMMA,31
1996,F,KELSEY,30
1996,F,KAYLA,29
1996,F,VANESSA,28
1996,F,JULIE,28
1996,F,RACHEL,27
1996,F,LAURA,25
1997,M,MATTHEW,87
1997,M,JACOB,80
1997,M,BRANDON,78
1997,M,NICHOLAS,75
1997,M,RYAN,71
1997,M,TYLER,67
1997,M,ALEXANDER,60
1997,M,MICHAEL,59
1997,M,JOSHUA,59
1997,M,JUSTIN,58
1997,M,KYLE,57
1997,M,SAMUEL,55
