First Name,Frequency,Rank,Gender
MARY,23674,2,F
MARGARET,9160,3,F
ELIZABETH,5983,4,F
CATHERINE,5825,5,F
PATRICIA,5371,6,F
LINDA,5138,7,F
MARIE,5091,8,F
DONNA,4695,9,F
JENNIFER,4640,10,F
BARBARA,4323,11,F
SUSAN,4207,12,F
SHIRLEY,3994,13,F
HEATHER,3881,14,F
DEBORAH,3826,15,F
KAREN,3644,16,F
SARAH,3419,17,F
SHARON,3325,18,F
HELEN,3220,19,F
SANDRA,3115,20,F
JOAN,2978,21,F
LISA,2942,22,F
BRENDA,2897,23,F
AMANDA,2845,24,F
DOROTHY,2713,25,F
NANCY,2545,26,F
JESSICA,2522,27,F
EMILY,2420,28,F
ANGELA,2417,29,F
JEAN,2401,30,F
CAROL,2370,31,F
JUDITH,2353,32,F
NICOLE,2122,33,F
MICHELLE,2066,34,F
ASHLEY,2052,35,F
EMMA,1973,36,F
MELISSA,1908,37,F
ANNIE,1869,38,F
FLORENCE,1622,39,F
MARION,1536,40,F
STEPHANIE,1465,41,F
OLIVIA,1460,42,F
SAMANTHA,1456,43,F
LAURA,1449,44,F
JANET,1366,45,F
RUTH,1347,46,F
MEGAN,1323,47,F
TANYA,1283,48,F
DARLENE,1268,49,F
HANNAH,1264,50,F
KELLY,1165,51,F
TAMMY,1165,51,F
MARILYN,1163,52,F
CHERYL,1110,53,F
MADISON,1104,54,F
BRITTANY,1096,55,F
DORIS,1072,56,F
AMY,1060,57,F
ALICE,1037,58,F
REBECCA,980,59,F
MARJORIE,969,60,F
KIMBERLY,967,61,F
ABIGAIL,887,62,F
ERIN,844,63,F
AVA,842,64,F
EVELYN,775,65,F
COURTNEY,768,66,F
KAYLA,736,67,F
TAYLOR,736,67,F
ELLA,734,68,F
TRACY,710,69,F
WENDY,673,70,F
JENNA,666,71,F
JOYCE,659,72,F
DANIELLE,631,73,F
LILLIAN,627,74,F
CRYSTAL,612,75,F
CHLOE,607,76,F
SOPHIA,606,77,F
KIMBERLEY,593,78,F
LILY,590,79,F
SOPHIE,551,80,F
CHARLOTTE,531,81,F
DEBRA,493,82,F
MELANIE,489,83,F
TARA,483,84,F
CAROLYN,483,84,F
LAUREN,469,85,F
GRACE,456,86,F
KELSEY,437,87,F
CYNTHIA,422,88,F
ANNA,408,89,F
BROOKLYN,400,90,F
ANNE,383,91,F
JULIA,379,92,F
MORGAN,379,92,F
ANN,366,93,F
FRANCES,357,94,F
AMELIA,354,95,F
GLORIA,335,96,F
MURIEL,330,97,F
MACKENZIE,326,98,F
SHELLEY,326,98,F
BETTY,325,99,F
AUDREY,317,100,F
MILDRED,316,101,F
ISABELLA,293,102,F
SADIE,280,103,F
EDITH,271,104,F
TRACEY,263,105,F
HALEY,261,106,F
KATHLEEN,251,107,F
HOLLY,248,108,F
SHANNON,247,109,F
DIANE,247,109,F
LINDSAY,239,110,F
NATASHA,235,111,F
CHELSEA,235,111,F
PAMELA,234,112,F
KATELYN,230,113,F
ALEXIS,214,114,F
ISLA,212,115,F
SCARLETT,200,116,F
ADDISON,188,117,F
WANDA,186,118,F
HAILEY,181,119,F
BRIANNA,180,120,F
ANDREA,176,121,F
PAULA,175,122,F
ELLIE,169,123,F
VIOLET,167,124,F
BROOKE,165,125,F
CLAIRE,164,126,F
JILLIAN,163,127,F
NORA,162,128,F
ALYSSA,158,129,F
AVERY,149,130,F
IVY,143,131,F
THERESA,127,132,F
KATHERINE,123,133,F
VICTORIA,122,134,F
JULIE,116,135,F
TIFFANY,115,136,F
KRISTA,112,137,F
ROSE,102,138,F
SHEILA,86,139,F
KAITLYN,84,140,F
HARPER,82,141,F
PEYTON,81,142,F
JANICE,78,143,F
PAIGE,74,144,F
SHERRY,70,145,F
MICHELE,68,146,F
HAZEL,66,147,F
TINA,58,148,F
JESSIE,53,149,F
RACHEL,51,150,F
JUNE,50,151,F
ALICIA,48,152,F
LUCY,45,153,F
EVERLY,42,154,F
MYA,28,155,F
NEVAEH,28,155,F
MIA,28,155,F
FAITH,28,155,F
LEAH,27,156,F
ZOEY,27,156,F
MAKAYLA,27,156,F
ISABELLE,23,157,F
AURORA,22,158,F
KINSLEY,21,159,F
WILLOW,21,159,F
ELEANOR,21,159,F
